Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
44	:	1681689329.043	     2.809	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.86 &&          ./mzasolve 0.00 0.86 ./output/output_y0_0.00_z0_0.86/timeseries_y0_0.00_z0_0.86.nc > ./output/output_y0_0.00_z0_0.86/output_y0_0.00_z0_0.86.txt
45	:	1681689329.116	     2.779	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.88 &&          ./mzasolve 0.00 0.88 ./output/output_y0_0.00_z0_0.88/timeseries_y0_0.00_z0_0.88.nc > ./output/output_y0_0.00_z0_0.88/output_y0_0.00_z0_0.88.txt
46	:	1681689329.199	     2.783	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.90 &&          ./mzasolve 0.00 0.90 ./output/output_y0_0.00_z0_0.90/timeseries_y0_0.00_z0_0.90.nc > ./output/output_y0_0.00_z0_0.90/output_y0_0.00_z0_0.90.txt
47	:	1681689329.263	     2.842	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.92 &&          ./mzasolve 0.00 0.92 ./output/output_y0_0.00_z0_0.92/timeseries_y0_0.00_z0_0.92.nc > ./output/output_y0_0.00_z0_0.92/output_y0_0.00_z0_0.92.txt
50	:	1681689330.168	     2.559	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.98 &&          ./mzasolve 0.00 0.98 ./output/output_y0_0.00_z0_0.98/timeseries_y0_0.00_z0_0.98.nc > ./output/output_y0_0.00_z0_0.98/output_y0_0.00_z0_0.98.txt
48	:	1681689330.129	     2.683	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.94 &&          ./mzasolve 0.00 0.94 ./output/output_y0_0.00_z0_0.94/timeseries_y0_0.00_z0_0.94.nc > ./output/output_y0_0.00_z0_0.94/output_y0_0.00_z0_0.94.txt
49	:	1681689330.151	     2.764	0	0	0	0	mkdir -p ./output/output_y0_0.00_z0_0.96 &&          ./mzasolve 0.00 0.96 ./output/output_y0_0.00_z0_0.96/timeseries_y0_0.00_z0_0.96.nc > ./output/output_y0_0.00_z0_0.96/output_y0_0.00_z0_0.96.txt
52	:	1681689330.220	     3.496	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.00 &&          ./mzasolve 0.02 0.00 ./output/output_y0_0.02_z0_0.00/timeseries_y0_0.02_z0_0.00.nc > ./output/output_y0_0.02_z0_0.00/output_y0_0.02_z0_0.00.txt
55	:	1681689330.273	     5.099	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.06 &&          ./mzasolve 0.02 0.06 ./output/output_y0_0.02_z0_0.06/timeseries_y0_0.02_z0_0.06.nc > ./output/output_y0_0.02_z0_0.06/output_y0_0.02_z0_0.06.txt
54	:	1681689330.256	     5.283	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.04 &&          ./mzasolve 0.02 0.04 ./output/output_y0_0.02_z0_0.04/timeseries_y0_0.02_z0_0.04.nc > ./output/output_y0_0.02_z0_0.04/output_y0_0.02_z0_0.04.txt
57	:	1681689330.524	     5.174	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.10 &&          ./mzasolve 0.02 0.10 ./output/output_y0_0.02_z0_0.10/timeseries_y0_0.02_z0_0.10.nc > ./output/output_y0_0.02_z0_0.10/output_y0_0.02_z0_0.10.txt
53	:	1681689330.238	     5.628	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.02 &&          ./mzasolve 0.02 0.02 ./output/output_y0_0.02_z0_0.02/timeseries_y0_0.02_z0_0.02.nc > ./output/output_y0_0.02_z0_0.02/output_y0_0.02_z0_0.02.txt
56	:	1681689330.310	     5.654	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.08 &&          ./mzasolve 0.02 0.08 ./output/output_y0_0.02_z0_0.08/timeseries_y0_0.02_z0_0.08.nc > ./output/output_y0_0.02_z0_0.08/output_y0_0.02_z0_0.08.txt
58	:	1681689331.180	     5.152	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.12 &&          ./mzasolve 0.02 0.12 ./output/output_y0_0.02_z0_0.12/timeseries_y0_0.02_z0_0.12.nc > ./output/output_y0_0.02_z0_0.12/output_y0_0.02_z0_0.12.txt
66	:	1681689332.830	     4.950	0	0	0	0	mkdir -p ./output/output_y0_0.02_z0_0.28 &&          ./mzasolve 0.02 0.28 ./output/output_y0_0.02_z0_0.28/timeseries_y0_0.02_z0_0.28.nc > ./output/output_y0_0.02_z0_0.28/output_y0_0.02_z0_0.28.txt
